"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-01","RO","Romania",-,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-02","RO","Romania",-,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-03","RO","Romania",-,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-04","RO","Romania",-,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-05","RO","Romania",-,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-06","RO","Romania",-,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-07","RO","Romania",-,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-08","RO","Romania",-,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-09","RO","Romania",-,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-10","RO","Romania",-,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-11","RO","Romania",-,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-12","RO","Romania",-,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-01","RO","Romania",-,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-02","RO","Romania",-,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-03","RO","Romania",-,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-04","RO","Romania",-,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-05","RO","Romania",-,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-06","RO","Romania",-,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-07","RO","Romania",-,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-09","RO","Romania",-,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-10","RO","Romania",-,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-11","RO","Romania",-,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-12","RO","Romania",-,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2009-01","RO","Romania",-,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2009-02","RO","Romania",-,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2009-03","RO","Romania",-,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2009-04","RO","Romania",-,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2009-05","RO","Romania",-,""
