Population on 1 January - taken from http://ec.europa.eu/eurostat/tgm/table.do?tab=table&init=1&language=en&pcode=tgs00027&plugin=1;;;;;;;;;;;;;
Manually added NUTS identifiers from https://en.wikipedia.org/wiki/Nomenclature_of_Territorial_Units_for_Statistics;;;;;;;;;;;;;
:=not available b=break in time series e=estimated p=provisional ;;;;;;;;;;;;;
;;;;;;;;;;;;;
Source of Data:;;Eurostat;;;;;;;;;;;
Last update:;;25.11.2016;;;;;;;;;;;
Date of extraction:;;29 Nov 2016 13:25:37 CET;;;;;;;;;;;
Hyperlink to the table:;;http://ec.europa.eu/eurostat/tgm/table.do?tab=table&init=1&plugin=1&language=en&pcode=tps00001;;;;;;;;;;;
General Disclaimer of the EC website:;;http://ec.europa.eu/geninfo/legal_notices_en.htm;;;;;;;;;;;
Code:;;tps00001;;;;;;;;;;;
Persons;;;;;;;;;;;;;
geo\time;NUTS;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
EU (28 countries);:;494598322;496436597;498300775;500297033;502090235;503170618;502964837;504060345;505166839;506944075;508401408;510087606
EU (27 countries);:;490287461;492124110;493987245;495985066;497780439;498867771;498674980;499784361;500904699;502697266;504176092;505896937
Euro area (19 countries);:;328141448;329684938;331204579;333096775;334470255;335266424;334572589;335301305;336048797;337473384;338421552;339690824
Euro area (18 countries);:;324786228;326395103;327954596;329884170;331286399;332124448;331520001;332297664;333076892;334529912;335500290;336802266
Belgium;BE;10445852;10511382;10584534;10666866;10753080;10839905;11000638;11094850;11161642;11203992;11208986;11289853
Bulgaria;BG;7688573;7629371;7572673;7518002;7467119;7421766;7369431;7327224;7284552;7245677;7202198;7153784
Czech Republic;CZ;10198855;10223577;10254233;10343422;10425783;10462088;10486731;10505445;10516125;10512419;10538275;10553843
Denmark;DK;5411405;5427459;5447084;5475791;5511451;5534738;5560628;5580516;5602628;5627235;5659715;5707251
Germany;DE;82500849;82437995;82314906;82217837;82002356;81802257;80222065;80327900;80523746;80767463;81197537;82162000
Estonia;EE;1358850;1350700;1342920;1338440;1335740;1333290;1329660;1325217;1320174;1315819;1313271;1315944
Ireland;IE;4111672;4208156;4340118;4457765;4521322;4549428;4570881;4582707;4591087;4605501;4628949;4658530
Greece;EL;10969912;11004716;11036008;11060937;11094745;11119289;11123392;11086406;11003615;10926807;10858018;10783748
Spain;ES;43296338;44009971;44784666;45668939;46239273;46486619;46667174;46818219;46727890;46512199;46449565;46438422
France;FR;62772870;63229635;63645065;64007193;64350226;64658856;64978721;65276983;65600350;65889148;66415161;66661621
France (metropolitan);:;60963264;61399733;61795238;62134866;62465709;62765235;63070344;63375971;63697865;:;:;:
Croatia;HR;4310861;4312487;4313530;4311967;4309796;4302847;4289857;4275984;4262140;4246809;4225316;4190669
Italy;IT;57874753;58064214;58223744;58652875;59000586;59190143;59364690;59394207;59685227;60782668;60795612;60665551
Cyprus;CY;733067;744013;757916;776333;796930;819140;839751;862011;865878;858000;847008;848319
Latvia;LV;2249724;2227874;2208840;2191810;2162834;2120504;2074605;2044813;2023825;2001468;1986096;1968957
Lithuania;LT;3355220;3289835;3249983;3212605;3183856;3141976;3052588;3003641;2971905;2943472;2921262;2888558
Luxembourg;LU;461230;469086;476187;483799;493500;502066;511840;524853;537039;549680;562958;576249
Hungary;HU;10097549;10076581;10066158;10045401;10030975;10014324;9985722;9931925;9908798;9877365;9855571;9830485
Malta;MT;402668;404999;405616;407832;410926;414027;414989;417546;421364;425384;429344;434403
Netherlands;NL;16305526;16334210;16357992;16405399;16485787;16574989;16655799;16730348;16779575;16829289;16900726;16979120
Austria;AT;8201359;8254298;8282984;8307989;8335003;8351643;8375164;8408121;8451860;8506889;8576261;8700471
Poland;PL;38173835;38157055;38125479;38115641;38135876;38022869;38062718;38063792;38062535;38017856;38005614;37967209
Portugal;PT;10494672;10511988;10532588;10553339;10563014;10573479;10572721;10542398;10487289;10427301;10374822;10341330
Romania;RO;21382354;21257016;21130503;20635460;20440290;20294683;20199059;20095996;20020074;19947311;19870647;19759968
Slovenia;SI;1997590;2003358;2010377;2010269;2032362;2046976;2050189;2055496;2058821;2061085;2062874;2064188
Slovakia;SK;5372685;5372928;5373180;5376064;5382401;5390410;5392446;5404322;5410836;5415949;5421349;5426252
Finland;FI;5236611;5255580;5276955;5300484;5326314;5351427;5375276;5401267;5426674;5451270;5471753;5487308
Sweden;SE;9011392;9047752;9113257;9182927;9256347;9340682;9415570;9482855;9555893;9644864;9747355;9851017
United Kingdom;UK;60182050;60620361;61073279;61571647;62042343;62510197;63022532;63495303;63905297;64351155;64875165;65382556
Iceland;IS;293577;299891;307672;315459;319368;317630;318452;319575;321857;325671;329100;332529
Liechtenstein;LI;34600;34905;35168;35356;35589;35894;36149;36475;36838;37129;37366;37622
Norway;NO;4606363;4640219;4681134;4737171;4799252;4858199;4920305;4985870;5051275;5107970;5166493;5213985
Switzerland;CH;7415102;7459128;7508739;7593494;7701856;7785806;7870134;7954662;8039060;8139631;8237666;8325194
Montenegro;ME;613420;613109;614624;615543;617157;619001;619850;620308;620893;621521;622099;622218
Former Yugoslav Republic of Macedonia, the;MK;2035196;2038514;2041941;2045177;2048619;2052722;2057284;2059794;2062294;2065769;2069172;2071278
